table,field,classification,source,source_url,derivation_method,generation_method,assumption,validation_method,confidence
jobs,needs_train_movements/needs_live_ohe,C,Class D negations from the catalogue,https://indianrailways.gov.in/railwayboard/uploads/codesmanual/ACTraction-II-P-I/ACTractionIIPartICh6.htm,work that requires the opposite of a block,,,,0.9
jobs,duration_mean_min/duration_sd_min,D/E,Sampled around the catalogue values,,,per-job jitter around the activity mean; the catalogue value itself is an assumption,,,1.0
jobs,duration_min_min/duration_max_min,E,Catalogue bounds,,,,plausible working-time bounds per activity,,1.0
jobs,min_block_min,C/E,Catalogue minimum block,https://indianrailways.gov.in/railwayboard/uploads/codesmanual/IRTMM-RDSO/,,,only DEEP_SCREENING has a published minimum (four hours),,1.0
jobs,due_day,D,Steady-state maintenance phase,,,"Poisson arrivals are uniform in the window, so due dates are uniform by construction; an overdue tail is added in proportion to the backlog multiplier",,,1.0
jobs,criticality,D/E,Activity base times a defect draw,,,,the activity base criticality is an assumption,,1.0
jobs,priority,B,Banded from criticality and due date,,URGENT if overdue or criticality >= 2.0; HIGH if >= 1.4,,,,1.0
jobs,uncertainty_level,B,Banded from the coefficient of variation,,"HIGH if sd/mean > 0.28, LOW if < 0.15",,,,1.0
jobs,resources,C/E,"Resource class from the catalogue, fleet size assumed",,,,fleet counts per division are an assumption,,1.0
jobs,provenance,D,Self-describing tag,,,records the generation model used for the row,,,1.0
pairing_rules,compelled_dept,C,Indian Railways manuals,https://indianrailways.gov.in/railwayboard/uploads/codesmanual/IRTMM-RDSO/,see config/rules.yaml; every row carries its own source and confidence,,,,0.82
block_requests,*,D,Synthesised from maintenance demand,,,"one request per job, with a preferred window drawn from the department's declared preference; we do NOT have BDMS data and do not claim to",,,1.0
execution,actual_duration_min,D,Stochastic realisation,,,"lognormal draw per job per realisation, used ONLY for evaluation and never visible to the planner",,,1.0
activities,activity_id/label/asset/resource_class,C/E,Activity catalogue,https://indianrailways.gov.in/railwayboard/uploads/codesmanual/IRTMM-RDSO/,activity taxonomy follows the departmental split in the manuals; the asset class and resource class are ours,,,,1.0
activities,dept,C,Department owning the activity,https://indianrailways.gov.in/railwayboard/uploads/codesmanual/IRTMM-RDSO/,P-Way / S&T / TRD split as used in the manuals,,,,1.0
activities,needs_T/needs_P/needs_D,C,Protection regime,https://indianrailways.gov.in/railwayboard/uploads/codesmanual/ACTraction-II-P-I/ACTractionIIPartICh6.htm,per-activity; see protection_source on each row,,,,0.88
activities,needs_train_movements/needs_live_ohe,C,Class D negation flags,https://indianrailways.gov.in/railwayboard/uploads/codesmanual/ACTraction-II-P-I/ACTractionIIPartICh6.htm,,,,,0.9
activities,duration_mean_min/duration_sd_min,E,Modelling assumption,,,,no per-activity working times were found in public sources,,1.0
activities,criticality_base,E,Modelling assumption,,,,relative consequence of deferring this activity,,1.0
activities,min_block_provenance,C/E,Self-describing tag,https://indianrailways.gov.in/railwayboard/uploads/codesmanual/IRTMM-RDSO/,"C where a published minimum exists, E otherwise",,,,1.0
activities,protection_source,C,Citation carried in the row,https://indianrailways.gov.in/railwayboard/uploads/codesmanual/ACTraction-II-P-I/ACTractionIIPartICh6.htm,,,,,1.0
pairing_rules,activity/companion_activity,C,Mandatory association from the manuals,https://indianrailways.gov.in/railwayboard/uploads/codesmanual/IRTMM-RDSO/,,,,,0.82
pairing_rules,duration_mean_min/duration_sd_min,E,Modelling assumption,,,,the companion task's working time,,1.0
pairing_rules,must_follow_parent/precedes_parent,C,Sequencing implied by the rule,https://indianrailways.gov.in/railwayboard/uploads/codesmanual/IRTMM-RDSO/,e.g. OHE re-adjustment must follow track lifting; cable clearance must precede deep screening,,,,1.0
pairing_rules,source/confidence,C,Citation and our confidence in it,https://indianrailways.gov.in/railwayboard/uploads/codesmanual/IRTMM-RDSO/,,,,,1.0
sections,is_single/track_source,B,Derived from the track configuration,https://www.openstreetmap.org,is_single = tracks < 2; track_source records whether the row came from OSM or from the declared fallback,,,,1.0
trains,direction,B,Derived from the real stop order,https://github.com/datameet/railways,,,,,1.0
train_stops,train_number/train_name/station_code,A,DataMeet schedules.json,https://github.com/datameet/railways,,,,,1.0
movements,train_number/train_class/from_code/to_code,A/B,Real train mapped onto a derived section,https://github.com/datameet/railways,,,,,1.0
movements,is_synthetic,D,Generated-freight flag,,,true only for generated freight paths,,,1.0
execution,realisation/job_id,D,Realisation index and key,,,one row per job per stochastic realisation,,,1.0
resources,resource_class/fleet_size/provenance,E,Modelling assumption,,,,fleet counts available to the division over the horizon,,1.0
scenarios,*,E,Scenario multipliers,,,,scenario definitions are ours; the infrastructure and the real timetable are identical across every scenario,,1.0
config,kappa/lambda_close,E,Modelling assumption,,,,the entire quantitative content of 'more departments means more risk',,1.0
config,train_weight,E,Modelling assumption,,,,relative train priority weights; not railway policy,,1.0
config,block_envelope,C,Corridor block norm,https://cag.gov.in/uploads/download_audit_report/2018/Chapter_3_Utilisation_of_resources_and_infrastructure_for_track_maintenance_of_Report_No.45_of_2018_%E2%80%93_Compli_1.pdf,single 240-min block or two of 150 min,,,,0.9
